OrderID,OrderDate,CustomerID,FirstName,LastName,Email,Gender,Age,City,ProductCode,ProductCategory,UnitPrice,Quantity,TotalAmount,PaymentMethod
1001,2024-04-18,25796,Enginiz,Arsoy,osezer@example.com,Male,62,Bursa,PRD-641,Clothing,4837.23,1,4837.23,Credit Card
1002,2024-08-27,23970,Sebattin,Akça,fitnatbilge@example.org,Male,65,Ankara,PRD-809,Electronics,1229.02,1,1229.02,Credit Card
1003,2024-01-13,29324,Değer,Çorlu,demireldorukhan@example.org,Female,34,Bursa,PRD-881,Home & Garden,3640.91,1,3640.91,Wire Transfer
1004,2024-09-18,21430,Birgit,Çetin,salami51@example.net,Male,38,Adana,PRD-909,Beauty,1709.74,1,1709.74,Wire Transfer
1005,2024-12-29,22941,Susam,Ülker,lufen33@example.net,Male,56,Antalya,PRD-422,Electronics,3215.36,1,3215.36,Wire Transfer
1006,2024-10-16,24668,Tanyu,Karadeniz,banubilir@example.org,Male,50,Adana,PRD-673,Books,261.21,3,783.6299999999999,Wire Transfer
1007,2024-02-22,25659,Satıa,Bilir,akayerdogan@example.org,Male,39,Antalya,PRD-690,Books,4539.2,3,13617.599999999999,Credit Card
1008,2024-04-24,29619,Uğurkan,Türk,sensoygokay@example.org,Male,62,Bursa,PRD-387,Clothing,2152.41,4,8609.64,Wire Transfer
1009,2024-10-20,29218,Hudavent,Tarhan,bisarzorlu@example.org,Female,19,Ankara,PRD-798,Books,542.15,4,2168.6,Wire Transfer
1010,2024-01-22,27087,Güçal,Soylu,karslan@example.com,Male,53,Antalya,PRD-293,Home & Garden,3337.21,1,3337.21,Wire Transfer
1011,2024-02-21,22177,Salurbay,Hançer,oertas@example.com,Male,59,Bursa,PRD-883,Beauty,290.16,4,1160.64,Credit Card
1012,2024-08-25,22872,Çağlar,Arslan,soylualiseydi@example.org,Male,36,Konya,PRD-709,Clothing,4981.77,4,19927.08,Wire Transfer
1013,2024-10-18,21876,Zekayi,Tevetoğlu,risaletyuksel@example.net,Male,35,Bursa,PRD-620,Toys,592.49,3,1777.47,Credit Card
1014,2024-08-11,24676,Derkay,Fırat,ahat31@example.net,Male,62,Izmir,PRD-524,Clothing,2217.42,2,4434.84,Credit Card
